nm;sboron2m, (S, id=5160);abatal3s, (S, id=5737);abierb2s_hr, (S, id=5227);swerne3s, (S, id=6061);sginze2s_hr, (S, id=5328);sgade2s, (S, id=5758)
920;29,4105095749;29,9185486888;27,5309044894;29,8556042679;26,251875918;34,2769783724
930;29,0091590305;29,4956193399;26,9566850133;29,4517829375;25,9700739017;33,4569990201
940;28,352001544;28,9198358537;26,6142690382;28,524104641;25,513525885;32,4454859236
950;27,5714979834;28,0989142444;26,0597078284;27,4836582415;24,6727653778;31,2770031128
960;26,8773240296;27,2079598461;24,9684917344;26,2867260671;23,7390684939;30,0416245809
970;26,3970240616;26,7370187386;24,353313715;25,8316825852;23,5021238193;29,3752658001
980;26,1361987859;26,6833943388;24,380145323;25,4502178271;23,2288618051;29,2837401879
990;25,9811460013;26,7992845043;24,3670495113;25,4833024088;23,2155079363;29,3669855747
1000;26,0306779309;26,9974828514;24,2639272314;25,4419975062;23,1892994936;29,6790917302
1010;26,083838997;27,1515437709;24,2687723821;25,6270367414;23,3336109307;29,9048226327
1020;26,0768931396;27,5521423381;24,6910984527;25,8426565826;23,4370913657;30,0151293137
1030;26,1693765546;27,8231281366;24,6793281929;25,9465683492;23,6809836517;30,3425134448
1040;26,1851513038;28,15043063;25,0193309969;26,2347662216;23,5874324237;30,6375214352
1050;26,1945293773;28,2114829331;24,9961026949;26,3571326332;23,8637124867;30,6063807146
1060;26,0330085059;28,4773180233;25,2350096662;26,3087021486;23,9011030541;30,8409214167
1070;26,0293897279;28,6554975026;25,4213341135;26,3600009559;23,9517994976;30,6468210067
1080;25,8338918919;28,5210742779;25,171284869;26,2944356347;23,8688754782;30,4545153783
1090;25,6052657702;28,5162690148;25,1798529465;26,1162427912;23,8267478061;30,2280948274
1100;25,1177224081;28,1993718958;24,990761091;25,8022718963;23,4661970694;29,9933059326
1110;24,9462702254;28,0705427053;24,8191239171;25,5032049751;23,4486791509;29,6160410714
1120;24,451241126;27,6935549033;24,4025921888;25,0889850633;23,061509562;29,0313486798
1130;23,4787060493;26,8905298517;23,5728926992;24,1258392703;22,291139284;27,902949021
1140;21,8501945315;24,7426937851;21,9818120224;22,2440964693;20,7620492739;25,5709082468
1150;20,626567367;22,961186215;20,3278715739;20,319352701;19,3481035434;23,3508946507
1160;19,9615293238;21,9960083948;19,2839960152;19,2088054171;18,5968752847;22,0209133484
1170;19,685787736;21,4172050141;19,0103897578;18,5833209267;18,1117323898;21,5129159148
1180;19,3079568855;21,1429237039;18,5691180677;18,4327128464;17,956693812;21,1673762601
1190;19,0004643519;21,0125031666;18,3416597296;18,0792170177;17,6781502628;20,750291193
1200;18,8571498476;21,0909415866;18,2056113741;18,0368164759;17,6239582421;20,8707154651
1210;18,9560365552;20,9341339557;18,3181051351;18,0317732071;17,6721581933;20,8618464476
1220;19,3777243983;21,2425000378;18,68334759;18,3491253177;17,8272026212;21,1588542382
1230;19,6244158217;21,6051333082;19,0545488285;18,6748755705;18,2203028598;21,5014014539
1240;19,9348207615;21,9973319441;19,4906596578;19,0318113683;18,569074883;21,8411716721
1250;19,971978597;22,0438017057;19,6703733866;19,4316674844;18,6931644673;21,9943385353
1260;20,0609444826;22,0380296881;19,8576691063;19,2386054218;18,7237293239;21,8389545627
1270;19,9355117037;22,0104145382;19,7495712921;19,1830525499;18,5584017129;21,9163717685
1280;19,6566211529;21,8055763548;19,4940995648;19,0346279839;18,3474410203;21,5767423908
1290;19,4952218779;21,3998862085;19,3799643741;18,7155632642;18,2151892805;21,0020766365
1300;19,0184050593;20,9662042411;18,9674680395;17,9984233592;17,6163332445;20,3859878984
1310;18,4339468814;20,1675052925;18,1776362284;17,3744794313;17,1508940191;19,6742497876
1320;17,8021352598;19,0918974606;17,3863536636;16,3607755189;16,2164425361;18,4232530617
1330;16,8451847216;18,0355843225;16,4864727705;15,2846118482;15,4504145876;17,0108058358
1340;16,1232933558;16,962984071;15,6517751956;14,0825422425;14,478701691;15,8256790731
1350;15,3353527388;16,2409360973;14,9526001445;13,2003558562;13,7592815016;15,0473164112
1360;14,7779750586;15,3408686325;14,0716427066;12,2307260244;12,8500337515;14,0736417933
1370;13,7653785192;14,2441308781;13,1875350225;11,204838408;12,0373822684;12,6897271327
1380;12,0770502564;12,5669718063;11,7159091675;9,45504065675;10,6618448114;10,7963346389
1390;10,2645669827;10,3733473722;9,62839125485;7,43828965677;8,78433988443;8,47356949944
1400;8,93385326589;8,73599679296;8,2415812758;5,71485842864;7,40837709422;6,62616663115
1410;8,22544676061;8,00760318196;7,57935692859;5,13985840724;6,88235879439;5,86755036184
1420;8,05851251959;7,5605376049;7,35964451129;4,84931874382;6,36256991781;5,37923789271
1430;7,94609314553;7,42814169207;7,21730912232;4,77786193445;6,49145333442;5,23894412236
1440;7,81016079166;7,3607976769;7,32129568801;4,7326376591;6,45119152921;5,38719503585
1450;7,90434299138;7,41637685183;6,98229905755;4,70417854356;6,28444558407;5,37405866119
1460;7,98375722917;7,50989159669;7,24295966029;4,68090596322;6,3489819764;5,42952029297
1470;7,96345573899;7,475918408;7,31310590629;4,8659557035;6,40480509041;5,5215810947
1480;8,17075877754;7,7810260831;7,40041539236;4,9483849425;6,57596263394;5,70912278515
1490;8,45666921385;7,83058696569;7,53016465772;5,14627562251;6,86810045362;5,81262232237
1500;8,78908975844;8,12931949866;7,89474186896;5,33770286856;7,01258805172;6,09469721879
1510;9,02930712457;8,49854515864;8,02900184216;5,39752423915;7,19451156198;6,37119066222
1520;9,26211446553;8,55334361486;8,13663838396;5,94190248978;7,59418652163;6,66379919105
1530;9,7080511323;9,20680272204;8,60104924698;6,24649036162;7,84685988162;7,09810061677
1540;10,0858082304;9,3266455808;8,91822231403;6,50459472998;8,16569426026;7,3533889549
1550;10,3392224052;9,52519623353;9,33224162899;6,93089628248;8,56158274624;7,68252733204
1560;10,7118378925;9,95297358554;9,49459942596;7,0208026227;8,69997868659;8,09884997492
1570;11,0816568636;10,2875414022;9,98113291365;7,30870227305;9,03766067223;8,31515726748
1580;11,2738535315;10,5739154499;10,0923130595;7,91508956382;9,41129223782;8,75170928697
1590;11,67867925;10,8566064358;10,3945317169;8,2017998194;9,74896257096;8,95153813729
1600;11,9970644167;11,1727606168;10,6348279281;8,31451696532;9,80617184765;9,23195517505
