nm;sboron2m, (S, id=5160);abatal3s, (S, id=5737);abierb2s_hr, (S, id=5227);swerne3s, (S, id=6061);sginze2s_hr, (S, id=5328);sgade2s, (S, id=5758)
400;19.5339095684;4.7045067679;9.3102933865;32.5302535772;13.7357845686;6.5481913493
410;18.5704303028;5.0759027261;9.3356553565;31.333901944;13.7948542484;6.8743421078
420;18.1577095267;5.1933329781;9.6044651135;31.0094495728;13.8265550516;7.0864888219
430;18.5273707717;5.3909304161;10.6261767646;32.5706819887;14.5101531146;7.306178443
440;21.2675001715;5.6214318732;11.5430910527;36.4699637996;16.6000175327;8.0852956492
450;26.8414228935;6.1158494736;13.3247039226;40.2280301226;20.6150064539;9.1402909735
460;31.5278461528;6.6074193554;14.9872820358;42.1041047817;24.3532392108;10.148389857
470;33.5283592498;7.006280884;16.1336100288;42.9353973872;26.1047960386;11.076252275
480;34.071547626;7.3233144713;17.0078405123;43.3127144322;26.8931438229;11.8441216396
490;34.5204799411;7.6466806519;17.9067181291;43.7230341079;27.360257504;12.5237973648
500;34.7283939428;8.0574409106;18.6788988454;44.2105013315;27.7107928177;13.221619739
510;34.5523556292;8.2944860203;19.1058669745;44.2841162589;27.5713466055;13.7203225294
520;33.6409821744;8.4067183191;18.7695574295;43.4585362516;26.6942983886;13.7763400152
530;31.9523810888;8.4061290632;17.6833396717;41.8643529289;25.279028922;13.3085200024
540;29.9930175302;8.318974572;17.0136641009;40.5705053822;23.9053331698;12.9753333884
550;29.0224613987;8.4071351065;17.5645428901;40.3482614103;23.4338510818;13.502641875
560;29.0277524776;8.7029045997;18.1910132224;40.243683454;23.6458090746;14.1569954736
570;29.4373619981;8.9668724667;17.8608370411;39.3323333499;23.8366565324;14.2789437138
580;30.737264269;9.6531743072;18.8230025133;39.5848607801;25.0582064274;15.2049490619
590;34.0530937224;11.2460366347;22.7025330666;42.1653048765;28.312626938;18.2960765422
600;38.0563163335;13.2368414877;26.5803312726;44.089019082;32.057137599;21.8959708112
610;40.5855582274;15.0774715092;28.6792898707;44.3678306557;34.6438020993;24.3141929317
620;41.3642580468;16.2831339717;29.4515638167;43.9744406809;35.514141842;25.5238062596
630;41.4593598031;17.272646377;30.0324396399;43.5374255602;35.8671106072;26.4337299681
640;41.4517539604;18.1908068949;30.6019151251;43.1391233025;36.1459651948;27.4136498516
650;41.3732121093;19.0560010076;30.9506502695;42.6648450652;36.2396795914;28.303638313
660;41.1374140874;19.9124052797;31.2228641009;42.1593528457;36.3016754241;29.0259892873
670;40.9412894374;20.7262143995;31.351677889;41.4741610955;36.2570659735;29.7149570686
680;40.7495092441;21.5677934292;31.6053930364;40.8111831815;36.1706717493;30.362454274
690;40.3493120795;22.1767273531;31.68170641;40.2890309878;36.0123502685;30.7673049164
700;40.2376983182;23.1487354424;31.9818364581;39.9825919876;36.0476552337;31.4510116542
710;40.0192535735;23.9263081647;31.9931875928;39.3486410843;36.0795779135;31.929097365
720;39.799693632;24.5117849325;32.2095437288;39.1503459226;35.9260367209;32.4347427434
730;39.1503367626;25.2254256181;31.9342199322;38.6417938611;35.4609396708;33.2447053145
740;38.6106015448;26.1518194506;31.5266055399;37.9048335231;34.2515492983;33.2991206157
750;36.9652350392;26.1710792652;31.0757474962;37.0673155161;33.5200291023;34.2620627938
760;36.9412051225;26.9000671147;30.7122260526;36.5441350589;32.7086366137;34.7749316359
770;36.3109673462;27.4589842624;30.807028348;36.1571419255;32.3437464328;34.9669450287
780;35.459144975;27.9186579152;30.8456441226;35.9494228501;32.0354302025;35.6886473578
790;35.0626895501;28.7010489913;30.2548404599;35.5334777861;31.441425129;36.1876382793
800;34.794984741;29.0535900738;30.1887780012;34.9964692027;31.018388978;36.1293519039
810;34.1984914725;29.5184821079;30.0557613964;34.8588353606;30.4403709748;36.3878605019
820;33.8257813965;29.6532521932;29.8371766301;34.2874581686;30.0130507135;36.5640670419
830;33.2657443289;29.7940347869;29.4392711405;33.8298961679;29.701252288;36.7374481528
840;32.821186058;30.0620236172;29.3310100288;33.3004860395;29.1476055543;36.2131363223
850;32.669551552;30.1957669566;28.9990897737;32.9846713296;28.9998090785;36.2302839441
860;32.039321369;30.0107600273;28.7476852406;32.5411536222;28.5495565401;36.0332769001
870;31.5554658042;30.5038965966;29.0388019179;32.1815906661;28.0925995217;36.282234167
880;31.3563426465;30.3380272368;28.4502555438;31.8619010449;27.7359161472;35.8984900203
890;30.7041083566;30.2923036333;28.2997211731;31.4095029942;27.4316087171;35.3331894083
900;30.363944994;30.0493528801;28.0111516204;30.9447489202;27.0225386331;35.1137834479
910;29.9359782834;30.0007611609;27.6310931866;30.3404179319;26.6999792092;34.5200489079
920;29.4105095749;29.9185486888;27.5309044894;29.8556042679;26.251875918;34.2769783724
930;29.0091590305;29.4956193399;26.9566850133;29.4517829375;25.9700739017;33.4569990201
940;28.352001544;28.9198358537;26.6142690382;28.524104641;25.513525885;32.4454859236
950;27.5714979834;28.0989142444;26.0597078284;27.4836582415;24.6727653778;31.2770031128
960;26.8773240296;27.2079598461;24.9684917344;26.2867260671;23.7390684939;30.0416245809
970;26.3970240616;26.7370187386;24.353313715;25.8316825852;23.5021238193;29.3752658001
980;26.1361987859;26.6833943388;24.380145323;25.4502178271;23.2288618051;29.2837401879
990;25.9811460013;26.7992845043;24.3670495113;25.4833024088;23.2155079363;29.3669855747
1000;26.0306779309;26.9974828514;24.2639272314;25.4419975062;23.1892994936;29.6790917302
1010;26.083838997;27.1515437709;24.2687723821;25.6270367414;23.3336109307;29.9048226327
1020;26.0768931396;27.5521423381;24.6910984527;25.8426565826;23.4370913657;30.0151293137
1030;26.1693765546;27.8231281366;24.6793281929;25.9465683492;23.6809836517;30.3425134448
1040;26.1851513038;28.15043063;25.0193309969;26.2347662216;23.5874324237;30.6375214352
1050;26.1945293773;28.2114829331;24.9961026949;26.3571326332;23.8637124867;30.6063807146
1060;26.0330085059;28.4773180233;25.2350096662;26.3087021486;23.9011030541;30.8409214167
1070;26.0293897279;28.6554975026;25.4213341135;26.3600009559;23.9517994976;30.6468210067
1080;25.8338918919;28.5210742779;25.171284869;26.2944356347;23.8688754782;30.4545153783
1090;25.6052657702;28.5162690148;25.1798529465;26.1162427912;23.8267478061;30.2280948274
1100;25.1177224081;28.1993718958;24.990761091;25.8022718963;23.4661970694;29.9933059326
1110;24.9462702254;28.0705427053;24.8191239171;25.5032049751;23.4486791509;29.6160410714
1120;24.451241126;27.6935549033;24.4025921888;25.0889850633;23.061509562;29.0313486798
1130;23.4787060493;26.8905298517;23.5728926992;24.1258392703;22.291139284;27.902949021
1140;21.8501945315;24.7426937851;21.9818120224;22.2440964693;20.7620492739;25.5709082468
1150;20.626567367;22.961186215;20.3278715739;20.319352701;19.3481035434;23.3508946507
1160;19.9615293238;21.9960083948;19.2839960152;19.2088054171;18.5968752847;22.0209133484
1170;19.685787736;21.4172050141;19.0103897578;18.5833209267;18.1117323898;21.5129159148
1180;19.3079568855;21.1429237039;18.5691180677;18.4327128464;17.956693812;21.1673762601
1190;19.0004643519;21.0125031666;18.3416597296;18.0792170177;17.6781502628;20.750291193
1200;18.8571498476;21.0909415866;18.2056113741;18.0368164759;17.6239582421;20.8707154651
1210;18.9560365552;20.9341339557;18.3181051351;18.0317732071;17.6721581933;20.8618464476
1220;19.3777243983;21.2425000378;18.68334759;18.3491253177;17.8272026212;21.1588542382
1230;19.6244158217;21.6051333082;19.0545488285;18.6748755705;18.2203028598;21.5014014539
1240;19.9348207615;21.9973319441;19.4906596578;19.0318113683;18.569074883;21.8411716721
1250;19.971978597;22.0438017057;19.6703733866;19.4316674844;18.6931644673;21.9943385353
1260;20.0609444826;22.0380296881;19.8576691063;19.2386054218;18.7237293239;21.8389545627
1270;19.9355117037;22.0104145382;19.7495712921;19.1830525499;18.5584017129;21.9163717685
1280;19.6566211529;21.8055763548;19.4940995648;19.0346279839;18.3474410203;21.5767423908
1290;19.4952218779;21.3998862085;19.3799643741;18.7155632642;18.2151892805;21.0020766365
1300;19.0184050593;20.9662042411;18.9674680395;17.9984233592;17.6163332445;20.3859878984
1310;18.4339468814;20.1675052925;18.1776362284;17.3744794313;17.1508940191;19.6742497876
1320;17.8021352598;19.0918974606;17.3863536636;16.3607755189;16.2164425361;18.4232530617
1330;16.8451847216;18.0355843225;16.4864727705;15.2846118482;15.4504145876;17.0108058358
1340;16.1232933558;16.962984071;15.6517751956;14.0825422425;14.478701691;15.8256790731
1350;15.3353527388;16.2409360973;14.9526001445;13.2003558562;13.7592815016;15.0473164112
1360;14.7779750586;15.3408686325;14.0716427066;12.2307260244;12.8500337515;14.0736417933
1370;13.7653785192;14.2441308781;13.1875350225;11.204838408;12.0373822684;12.6897271327
1380;12.0770502564;12.5669718063;11.7159091675;9.4550406568;10.6618448114;10.7963346389
1390;10.2645669827;10.3733473722;9.6283912549;7.4382896568;8.7843398844;8.4735694994
1400;8.9338532659;8.735996793;8.2415812758;5.7148584286;7.4083770942;6.6261666312
1410;8.2254467606;8.007603182;7.5793569286;5.1398584072;6.8823587944;5.8675503618
1420;8.0585125196;7.5605376049;7.3596445113;4.8493187438;6.3625699178;5.3792378927
1430;7.9460931455;7.4281416921;7.2173091223;4.7778619345;6.4914533344;5.2389441224
1440;7.8101607917;7.3607976769;7.321295688;4.7326376591;6.4511915292;5.3871950359
1450;7.9043429914;7.4163768518;6.9822990576;4.7041785436;6.2844455841;5.3740586612
1460;7.9837572292;7.5098915967;7.2429596603;4.6809059632;6.3489819764;5.429520293
1470;7.963455739;7.475918408;7.3131059063;4.8659557035;6.4048050904;5.5215810947
1480;8.1707587775;7.7810260831;7.4004153924;4.9483849425;6.5759626339;5.7091227852
1490;8.4566692139;7.8305869657;7.5301646577;5.1462756225;6.8681004536;5.8126223224
1500;8.7890897584;8.1293194987;7.894741869;5.3377028686;7.0125880517;6.0946972188
1510;9.0293071246;8.4985451586;8.0290018422;5.3975242392;7.194511562;6.3711906622
1520;9.2621144655;8.5533436149;8.136638384;5.9419024898;7.5941865216;6.6637991911
1530;9.7080511323;9.206802722;8.601049247;6.2464903616;7.8468598816;7.0981006168
1540;10.0858082304;9.3266455808;8.918222314;6.50459473;8.1656942603;7.3533889549
1550;10.3392224052;9.5251962335;9.332241629;6.9308962825;8.5615827462;7.682527332
1560;10.7118378925;9.9529735855;9.494599426;7.0208026227;8.6999786866;8.0988499749
1570;11.0816568636;10.2875414022;9.9811329137;7.3087022731;9.0376606722;8.3151572675
1580;11.2738535315;10.5739154499;10.0923130595;7.9150895638;9.4112922378;8.751709287
1590;11.67867925;10.8566064358;10.3945317169;8.2017998194;9.748962571;8.9515381373
1600;11.9970644167;11.1727606168;10.6348279281;8.3145169653;9.8061718477;9.2319551751
